fold,n_videos,accuracy,bal_accuracy,f1_score,precision,recall,tp,tn,fp,fn,roc_auc,pr_auc
0,5,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0
1,5,0.6,0.5,0.75,0.6,1.0,3.0,0.0,2.0,0.0,0.8333333333333333,0.9027777777777777
2,5,0.6,0.5,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.6666666666666667,0.7083333333333333
3,5,0.8,0.75,0.6666666666666666,1.0,0.5,1.0,3.0,0.0,1.0,1.0,1.0
mean,5.0,0.75,0.6875,0.6041666666666666,0.65,0.625,1.75,2.0,0.5,0.75,0.875,0.9027777777777777
std,0.0,0.16583123951777,0.2072890493972125,0.369754986443726,0.4092676385936225,0.414578098794425,1.299038105676658,1.224744871391589,0.8660254037844386,0.82915619758885,0.13819269959814165,0.11907241805196007
