fold,n_videos,accuracy,bal_accuracy,f1_score,precision,recall,tp,tn,fp,fn,roc_auc,pr_auc
0.0,4.0,0.5,0.5,0.6666666666666666,0.5,1.0,2.0,0.0,2.0,0.0,0.5,0.7083333333333333
1.0,3.0,0.6666666666666666,0.5,0.8,0.6666666666666666,1.0,2.0,0.0,1.0,0.0,1.0,1.0
2.0,3.0,0.6666666666666666,0.75,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
mean,3.3333333333333335,0.611111111111111,0.5833333333333334,0.7111111111111111,0.5555555555555555,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,0.8333333333333334,0.9027777777777777
std,0.4714045207910317,0.0785674201318386,0.11785113019775792,0.06285393610547094,0.0785674201318386,0.0,0.4714045207910317,0.4714045207910317,0.4714045207910317,0.0,0.23570226039551584,0.13749298523071762
