fold,n_videos,accuracy,bal_accuracy,f1_score,precision,recall,tp,tn,fp,fn,roc_auc,pr_auc
0.0,5.0,0.8,0.8333333333333333,0.8,1.0,0.6666666666666666,2.0,2.0,0.0,1.0,0.6666666666666666,0.8500000000000001
1.0,5.0,0.8,0.75,0.8571428571428571,0.75,1.0,3.0,1.0,1.0,0.0,0.8333333333333333,0.9027777777777777
2.0,5.0,0.4,0.5,0.5714285714285714,0.4,1.0,2.0,0.0,3.0,0.0,0.6666666666666667,0.41666666666666663
3.0,5.0,0.8,0.8333333333333333,0.8,0.6666666666666666,1.0,2.0,2.0,1.0,0.0,0.8333333333333334,0.7916666666666666
mean,5.0,0.7,0.7291666666666665,0.7571428571428571,0.7041666666666666,0.9166666666666666,2.25,1.25,1.25,0.25,0.7500000000000001,0.7402777777777777
std,0.0,0.17320508075688773,0.13661330258962498,0.10973065354098013,0.21420881556711588,0.14433756729740646,0.4330127018922193,0.82915619758885,1.0897247358851685,0.4330127018922193,0.08333333333333331,0.19092549933494032
