biomarker,n_videos_present,acc_when_present,n_videos_absent_or_unknown,acc_when_absent_or_unknown,mean_presence_rate_over_videos,tp_when_present,tn_when_present,fp_when_present,fn_when_present
vocal_cords,16,0.5625,4,0.25,0.38229432477649433,9,0,7,0
epiglottis,6,0.5,14,0.5,0.05965404941001397,3,0,3,0
arytenoids,18,0.5555555555555556,2,0.0,0.6557232187196959,10,0,8,0
esophagus,18,0.5555555555555556,2,0.0,0.7771032162514204,10,0,8,0
endotracheal_tube,20,0.5,0,nan,0.5231806998165217,10,0,10,0
