fold,n_videos,accuracy,bal_accuracy,precision,recall,f1_score,tp,tn,fp,fn,roc_auc
0,13,0.6153846153846154,0.5952380952380952,0.6,0.8571428571428571,0.7058823529411764,6.0,2.0,4.0,1.0,0.9047619047619048
1,13,0.9230769230769231,0.9285714285714286,0.8571428571428571,1.0,0.923076923076923,6.0,6.0,1.0,0.0,0.9761904761904762
2,12,0.6666666666666666,0.6666666666666667,0.75,0.5,0.6,3.0,5.0,1.0,3.0,0.6666666666666666
3,12,0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846153,4.0,3.0,3.0,2.0,0.7777777777777778
