fold,n_videos,accuracy,bal_accuracy,precision,recall,f1_score,tp,tn,fp,fn,roc_auc,pr_auc
0,13,0.7692307692307693,0.7738095238095238,0.7142857142857143,0.8333333333333334,0.7692307692307693,5.0,5.0,2.0,1.0,0.8571428571428572,0.84265873015873
1,13,0.9230769230769231,0.9285714285714286,0.8571428571428571,1.0,0.9230769230769231,6.0,6.0,1.0,0.0,1.0,1.0
2,12,0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,5.0,6.0,0.0,1.0,0.888888888888889,0.9296296296296296
3,12,0.75,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,5.0,4.0,2.0,1.0,0.8333333333333334,0.8243055555555555
