fold,n_videos,accuracy,bal_accuracy,precision,recall,f1_score,tp,tn,fp,fn,roc_auc,pr_auc
0,13,0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,5.0,1.0,1.0,0.9523809523809524,0.9587585034013604
1,13,0.9230769230769231,0.9285714285714286,0.8571428571428571,1.0,0.9230769230769231,6.0,6.0,1.0,0.0,0.9523809523809524,0.9436507936507936
2,12,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.8,4.0,6.0,0.0,2.0,0.9166666666666667,0.9248015873015873
3,12,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,6.0,4.0,2.0,0.0,0.888888888888889,0.9037698412698412
